Date,Currency,Buying,Selling,Mean
2009-01-22,DKK,224.951,229.3732,227.1621
2009-01-22,ZAR,130.089,131.4138,130.7514
2009-01-22,SAR,342.7321,349.6335,346.1828
2009-01-22,PKR,22.3527,22.7101,22.5314
2009-01-22,FRF,173.0154,176.3446,174.68
2009-01-23,ITL,0.5861,0.5974,0.5918
2009-01-23,GOLD,1099685.3968,1124226.372,1111955.8844
2009-01-23,SAR,342.7413,349.6893,346.2153
2009-01-23,USD,1285.2798,1311.51,1298.3949
2009-01-23,CAD,1022.6606,1043.1162,1032.8884
2009-01-23,BEF,28.1335,28.6751,28.4043
2009-01-23,SEK,155.2852,158.3395,156.8123
2009-01-23,AUD,836.8457,854.3176,845.5817
2009-01-23,DEM,580.2618,591.4363,585.849
2009-01-23,FIM,190.8756,194.5514,192.7135
2009-01-23,DKK,223.042,227.5308,225.2864
2009-01-23,SDR,2021.6294,2062.8872,2042.2583
2009-01-23,MWK,14.6055,14.7361,14.6708
2009-01-23,AED,349.9074,357.0192,353.4633
2009-01-23,BIF,1.243,1.31,1.2765
2009-01-23,CHF,1109.3387,1131.3923,1120.3655
2009-01-23,ESP,6.821,6.9521,6.8865
2009-01-23,KES,18.6257,18.9692,18.7975
2009-01-23,EUR,1661.7383,1696.0447,1678.8915
2009-01-23,NLG,514.9977,524.919,519.9583
2009-01-23,NOK,184.0769,187.7529,185.9149
2009-01-23,ATS,82.4765,84.0647,83.2706
2009-01-23,PKR,22.3527,22.7101,22.5314
2009-01-23,ZAR,127.965,130.304,129.1345
2009-01-23,KWD,4473.6506,4563.3612,4518.5059
2009-01-23,FRF,173.0154,176.3446,174.68
2009-01-23,INR,26.1661,26.6893,26.4277
2009-01-23,UGX,0.7872,0.7983,0.7927
2009-01-23,GBP,1767.7739,1804.2443,1786.0091
2009-01-23,JPY,14.4902,14.7809,14.6356
2009-01-26,FIM,194.2099,197.9499,196.0799
2009-01-26,CHF,1127.0634,1149.4702,1138.2668
2009-01-26,UGX,0.8009,0.8123,0.8066
2009-01-26,MWK,14.8606,14.9934,14.927
2009-01-26,DKK,226.6786,231.2766,228.9776
2009-01-26,CAD,1058.7205,1079.8025,1069.2615
2009-01-26,JPY,14.7168,15.012,14.8644
2009-01-26,AED,356.2331,363.1075,359.6703
2009-01-26,SEK,159.4814,162.4687,160.975
2009-01-26,ATS,83.9172,85.5332,84.7252
2009-01-26,ESP,6.9401,7.0735,7.0068
2009-01-26,KWD,4531.2945,4618.9685,4575.1315
2009-01-26,GBP,1776.4227,1813.2099,1794.8163
2009-01-26,NLG,523.9939,534.0885,529.0412
2009-01-26,KES,18.9511,19.3006,19.1258
2009-01-26,GOLD,1168131.2518,1194639.505,1181385.3784
2009-01-26,SDR,2056.9441,2098.9225,2077.9333
2009-01-26,SAR,348.7099,355.7789,352.2444
2009-01-26,EUR,1689.4585,1724.3375,1706.898
2009-01-26,INR,26.897,27.429,27.163
2009-01-26,ZAR,128.3348,129.6812,129.008
2009-01-26,BEF,28.625,29.176,28.9005
2009-01-26,ITL,0.5964,0.6078,0.6021
2009-01-26,PKR,22.7432,23.1068,22.925
2009-01-26,NOK,188.7604,192.3904,190.5754
2009-01-26,DEM,590.398,601.7678,596.0829
2009-01-26,FRF,176.0377,179.4251,177.7314
2009-01-26,BIF,1.2647,1.31,1.2874
2009-01-26,USD,1307.7316,1334.42,1321.0758
2009-01-26,AUD,851.7256,869.775,860.7503
2009-01-27,ESP,6.9401,7.0735,7.0068
2009-01-27,USD,1307.7316,1334.42,1321.0758
2009-01-27,EUR,1729.8674,1765.7046,1747.786
2009-01-27,CHF,1151.3749,1174.2521,1162.8135
2009-01-27,DKK,232.1472,236.7588,234.453
2009-01-27,KES,18.9511,19.3006,19.1258
2009-01-27,AED,356.0294,363.2458,359.6376
2009-01-27,UGX,0.8009,0.8123,0.8066
2009-01-27,GOLD,1182581.6858,1208851.078,1195716.3819
2009-01-27,JPY,14.6246,14.9197,14.7722
2009-01-27,NOK,194.8059,198.6927,196.7493
2009-01-27,KWD,4546.2597,4637.4283,4591.844
2009-01-27,ITL,0.5964,0.6078,0.6021
2009-01-27,ZAR,131.1666,132.5144,131.8405
2009-01-27,GBP,1838.1475,1876.1945,1857.171
2009-01-27,NLG,523.9939,534.0885,529.0412
2009-01-27,SDR,2056.9441,2098.9225,2077.9333
2009-01-27,PKR,22.7432,23.1068,22.925
2009-01-27,SAR,348.6819,355.7031,352.1925
2009-01-27,AUD,868.5953,886.989,877.7922
2009-01-27,FIM,194.2099,197.9499,196.0799
2009-01-27,SEK,165.0405,168.0228,166.5316
2009-01-27,DEM,590.398,601.7678,596.0829
2009-01-27,ATS,83.9172,85.5332,84.7252
2009-01-27,MWK,14.8606,14.9934,14.927
2009-01-27,CAD,1068.2336,1089.5004,1078.867
2009-01-27,FRF,176.0377,179.4251,177.7314
2009-01-27,BEF,28.625,29.176,28.9005
2009-01-27,INR,26.7594,27.3,27.0297
2009-01-27,BIF,1.2647,1.31,1.2874
2009-01-28,BIF,1.2555,1.31,1.2827
2009-01-28,CAD,1057.7261,1078.7849,1068.2555
2009-01-28,SAR,346.025,352.9926,349.5088
2009-01-28,INR,26.6068,27.1442,26.8755
2009-01-28,MWK,14.7516,14.8836,14.8176
2009-01-28,ZAR,130.0423,132.0349,131.0386
2009-01-28,ESP,6.8893,7.0217,6.9555
2009-01-28,CHF,1140.9274,1163.598,1152.2627
2009-01-28,ATS,83.3021,84.9063,84.1042
2009-01-28,AED,353.42,360.5836,357.0018
2009-01-28,FIM,192.7865,196.4991,194.6428
2009-01-28,BEF,28.4151,28.9621,28.6886
2009-01-28,SDR,2041.8687,2083.5395,2062.7041
2009-01-28,SEK,161.993,165.0601,163.5265
2009-01-28,KES,18.8122,19.1591,18.9857
2009-01-28,EUR,1720.8239,1756.6051,1738.7145
2009-01-28,DEM,586.071,597.3574,591.7142
2009-01-28,FRF,174.7476,178.11,176.4288
2009-01-28,UGX,0.795,0.8063,0.8007
2009-01-28,GOLD,1161906.6514,1187738.456,1174822.5537
2009-01-28,NOK,193.8749,197.7429,195.8089
2009-01-28,GBP,1852.8455,1891.4535,1872.1495
2009-01-28,DKK,231.0199,235.5083,233.2641
2009-01-28,AUD,864.9555,883.27,874.1127
2009-01-28,KWD,4514.5095,4605.0409,4559.7752
2009-01-28,USD,1298.1472,1324.64,1311.3936
2009-01-28,JPY,14.5597,14.8486,14.7042
2009-01-28,ITL,0.592,0.6034,0.5977
2009-01-28,NLG,520.1535,530.1741,525.1638
2009-01-28,PKR,22.5765,22.9375,22.757
2009-01-29,BEF,28.1012,28.642,28.3716
2009-01-29,CAD,1054.7157,1075.7103,1065.213
2009-01-29,AED,349.714,356.4626,353.0883
2009-01-29,SAR,342.2098,349.1006,345.6552
2009-01-29,ATS,82.3815,83.9679,83.1747
2009-01-29,ITL,0.5855,0.5967,0.5911
2009-01-29,UGX,0.7863,0.7974,0.7918
2009-01-29,ZAR,129.9393,131.2625,130.6009
2009-01-29,BIF,1.2416,1.31,1.2758
2009-01-29,KWD,4439.1425,4528.1715,4483.657
2009-01-29,AUD,847.308,864.993,856.1505
2009-01-29,GBP,1816.3202,1853.912,1835.1161
2009-01-29,SEK,158.8213,161.8323,160.3268
2009-01-29,GOLD,1133402.83,1159153.5,1146278.165
2009-01-29,DKK,226.1326,230.5892,228.3609
2009-01-29,MWK,14.5887,14.7191,14.6539
